"INDEX2","chat gpt"
"410","Ab lagta hai ki thermostat mein hardware issue ho sakta hai, jise hum remotely thik nahi kar paayenge."
"411","Let me review your order to check if you're still within the warranty period."
"412","Mujhe aapka order dekhna hoga, taaki dekh saku ki kya aap abhi bhi warranty period ke andar hain."
"413","Thank you Miss Lee."
"414","Shukriya Miss Lee."
"415","Okay, I've processed your request and you are now enrolled in the hardship program."
"416","Theek hai, maine aapka request process kar diya hai aur aap ab hardship program mein shamil ho gaye hain."
"417","Your payment for this month will be waived and you will not be charged any late fees or interests."
"418","Is mahine ka aapka payment maaf kar diya gaya hai aur aapko koi late fees ya interest nahi lagega."
"419","However, it's important to remember that you will still be responsible for paying the full balance."
"420","Lekin, yeh yaad rakhna zaroori hai ki aapko poora balance pay karna hoga."
"421","Now about the data usage since you mentioned that your usage was higher than normal during your trip, this might have been a one-time thing."
"422","Ab data usage ke baare mein, aapne kaha ki aapka usage aapke trip ke dauraan normal se zyada tha, toh yeh ek baar ka issue ho sakta hai."
"423","However, if you think your data needs might increase in the future, I can review our current plans with higher data limits to help you avoid additional charges."
"424","Lekin, agar aapko lagta hai ki aapki data ki zarurat future mein badh sakti hai, toh main humare current plans ko review kar sakta hoon jo zyada data limits ke saath hain, taaki aapko extra charges se bachaya ja sake."
"425","I'm really sorry to hear that sir."
"426","Mujhe yeh sunkar bahut afsos hua sir."
"427","I completely understand how upsetting it is when something important doesn't arrive on time."
"428","Main bilkul samajhta hoon ki jab kuch zaroori cheez time par nahi aati, toh kitna upsetting hota hai."
"429","Let me gather some more details about what's going on with your order so I can help resolve this as quickly as possible."
"430","Main aapke order ke baare mein aur details ikattha karta hoon taaki main is issue ko jaldi se solve kar saku."
"431","Could you let me know your order number please?"
"432","Kya aap mujhe apna order number bata sakte hain?"
"433","Yes Monique, your plan does offer coverage for virtual therapy sessions through Telehealth Services."
"434","Haan Monique, aapka plan virtual therapy sessions ke liye Telehealth Services ke through coverage deta hai."
"435","It's a convenient option, especially in today's digital age."
"436","Yeh ek convenient option hai, khaas kar aaj ke digital age mein."
"437","The same cost-sharing rules apply, but it provides flexibility for accessing Mental Health Care from the comfort of your home."
"438","Wahi cost-sharing rules lagu hote hain, lekin yeh aapko apne ghar ke comfort se mental health care access karne ki flexibility deta hai."
"439","I can only imagine, sir, but your persistence shows you're dedicated to your customer, and that's something not everyone has."
"440","Main sirf imagine kar sakta hoon, lekin aapki persistence dikhati hai ki aap apne customer ke liye dedicated hain, aur yeh har kisi ke paas nahi hota."
"441","I'm confident that once the package arrives tomorrow, you'll be able to smooth things over."
"442","Mujhe yakeen hai ki jab package kal aayega, tab aap sab kuch theek kar paenge."
"443","It's just one last hurdle, and I'll make sure you're supported all the way."
"444","Yeh bas ek aakhri hurdle hai, aur main yeh ensure karunga ki aapko har step pe support mile."
"445","I need this fixed now."
"446","Mujhe yeh abhi fix karna hai."
"447","I'm really sorry to hear that you're experiencing this issue."
"448","Mujhe sach mein bahut khed hai ki aapko yeh problem ho rahi hai."
"449","And I know how frustrating it must be, especially with the weather being so hot."
"450","Aur mujhe pata hai ki yeh kitna frustrating hoga, khaas kar jab mausam itna garm ho."
"451","Let's see what we can do to resolve this for you as quickly as possible."
"452","Chaliye dekhte hain ki hum aapke liye yeh jaldi se kaise resolve kar sakte hain."
"453","Could I please have your account number or full name?"
"454","Kya aap mujhe apna account number ya pura naam de sakte hain?"
"455","That sounds good."
"456","Yeh accha lagta hai."
"457","Can I enroll in this plan online?"
"458","Kya main is plan mein online enroll kar sakta hoon?"
"459","Yes, you can enroll in a new plan online through our website."
"460","Haan, aap humari website ke through naye plan mein online enroll kar sakte hain."
"461","If you have any questions or need assistance with the enrollment process, you can also call our customer service line."
"462","Agar aapko koi sawaal ho ya enrollment process mein madad chahiye ho, toh aap humari customer service line par bhi call kar sakte hain."
"463","And one of our agents will be happy to help you."
"464","Aur humare agents aapki madad karne ke liye khushi se tayar hain."
"465","Certainly, I'd be happy to answer that."
"466","Bilkul, main aapka jawab dene ke liye khushi se tayar hoon."
"467","With your plan, you have comprehensive coverage for preventive care including vaccinations, screenings, and annual checkups."
"468","Aapke plan ke saath, aapko preventive care ke liye comprehensive coverage milti hai, jisme vaccinations, screenings, aur annual checkups shamil hain."
"469","These services are generally covered at 100%, meaning you won't have to pay any out-of-pocket costs for them."
"470","Yeh services aam taur par 100% covered hoti hain, iska matlab hai ki aapko inke liye koi bhi out-of-pocket costs nahi deni padti."
"471","We have been experiencing supply chain issues."
"472","Hum supply chain ki dikkat ka samna kar rahe hain."
"473","I apologize for the inconvenience."
"474","Asuvidha ke liye maafi chahta hoon."
"475","Let me put a note on the order."
"476","Mujhe order par ek note lagane do."
"477","Could we text you if there is an update?"
"478","Agar koi update ho, to kya hum aapko message bhej sakte hain?"
"479","We do appreciate your patience."
"480","Hum aapke dhairya ki tarif karte hain."
"481","Again, Mr. Wallace, I am very sorry for the delay."
"482","Phir se, Mr. Wallace, deri ke liye mujhe bahut afsos hai."
"483","Well, I hope it arrives soon."
"484","Accha, mujhe ummeed hai ki ye jaldi pahunch jayega."
"485","Is there anything else I can help you with today?"
"486","Kya aaj main kisi aur cheez mein aapki madad kar sakta hoon?"
"487","Of course, ma'am!"
"488","Bilkul, madam!"
"489","I would be happy to check on that for you."
"490","Mujhe aapke liye iski jaanch karne mein khushi hogi."
"491","May I please have your last name and telephone number?"
"492","Kya mujhe aapka last name aur telephone number mil sakta hai?"
"493","Please wait just a moment while I pull up your order."
"494","Kripya ek minute rukhein jab tak main aapka order check karoon."
"495","I found your order, Ms. Davis."
"496","Mujhe aapka order mil gaya, Ms. Davis."
"497","Could I please have your billing address zip code?"
"498","Kya mujhe aapka billing address ka zip code mil sakta hai?"
"499","Ms. Davis. You ordered a dining room set, is that correct?"
"500","Ms. Davis, aapne dining room set order kiya tha, kya yeh sahi hai?"
"501","Our system shows that it's still in transit."
"502","Hamare system ke hisaab se yeh abhi transit mein hai."
"503","I am truly sorry for the delay."
"504","Deri ke liye mujhe sach mein afsos hai."
"505","We are experiencing shipping problems due to the supply chain crisis."
"506","Supply chain ki dikkat ke karan hume shipping mein problem ho rahi hai."
"507","I can make a request to the warehouse to send us an update, then we can call you with the information."
"508","Main warehouse se update bhejne ki request kar sakta hoon, fir hum aapko call karke bataenge."
"509","I am so sorry, Ms. Davis."
"510","Main bahut maafi chahta hoon, Ms. Davis."
"511","Let me see if I can get you an update in the next 24 hours."
"512","Mujhe dekhne do ki kya main agle 24 ghante mein aapko update de sakta hoon."
"513","Is there anything else I can help you with today, Ms. Davis?"
"514","Ms. Davis, kya aaj main kisi aur cheez mein aapki madad kar sakta hoon?"
"515","Again, I'm extremely sorry for the shipping delay."
"516","Phir se, shipping ki deri ke liye mujhe bahut afsos hai."
"517","I would be happy to help you with that."
"518","Mujhe aapki madad karne mein khushi hogi."
"519","Which basket would you like to order?"
"520","Aap kaunsi basket order karna chahenge?"
"521","All right, sir."
"522","Theek hai, sir."
"523","We have two sizes for the Regal Chocolate Basket."
"524","Regal Chocolate Basket ke do sizes available hain."
"525","Would you like the 10-item gift basket or the 16-item deluxe gift basket?"
"526","Aap 10-item gift basket lena chahenge ya 16-item deluxe gift basket?"
"527","Thank you, sir. For the 16-item basket, would you like to add a balloon or some confetti?"
"528","Dhanyavaad, sir. 16-item basket ke saath kya aap ek balloon ya kuch confetti add karna chahenge?"
"529","May I have your name, please?"
"530","Kya mujhe aapka naam mil sakta hai?"
"531","Could you spell that for me?"
"532","Kya aap mujhe isse spell kar ke bata sakte hain?"
"533","Thank you for that information, Mr. McDougall."
"534","Is jankari ke liye dhanyavaad, Mr. McDougall."
"535","May I have your telephone number with the area code first?"
"536","Kya mujhe aapka telephone number area code ke saath mil sakta hai?"
"537","Could you provide us with an email address?"
"538","Kya aap humein apna email address de sakte hain?"
"539","May I have the shipping address and name of the recipient, please?"
"540","Kya mujhe shipping address aur recipient ka naam mil sakta hai?"
"541","Is the street name P for Papa or V for Victor?"
"542","Street ka naam P for Papa hai ya V for Victor?"
"543","Thank you. Just to confirm, you are ordering the 16-item Regal Chocolate Basket for Molly McDougall."
"544","Dhanyavaad. Confirm karne ke liye, aap Molly McDougall ke liye 16-item Regal Chocolate Basket order kar rahe hain."
"545","The total amount for your order is $89.98."
"546","Aapke order ki total amount $89.98 hai."
"547","How would you like to pay for that?"
"548","Aap iska payment kaise karna chahenge?"
"549","All right, sir. I am ready for your card number."
"550","Theek hai, sir. Main aapke card number ke liye ready hoon."
"551","Let me just confirm the number. It's 1234-5678-9012-3456. Is that right?"
"552","Main number confirm kar leta hoon. Yeh 1234-5678-9012-3456 hai, kya yeh sahi hai?"
"553","May I have the card expiration date?"
"554","Kya mujhe card ki expiry date mil sakti hai?"
"555","Thank you. Could you tell me the security code on the back of the card?"
"556","Dhanyavaad. Kya aap mujhe card ke peeche wala security code bata sakte hain?"
"557","Thank you for that. Your order is all set."
"558","Iske liye dhanyavaad. Aapka order ready hai."
"559","It will ship within 48 hours."
"560","Yeh 48 ghante ke andar ship hoga."
"561","You can expect delivery in three to five business days."
"562","Aap delivery 3-5 working days mein expect kar sakte hain."
"563","Oh, I'm sorry to hear that."
"564","Oho, yeh sunke afsos hua."
"565","Was the package damaged when you received it?"
"566","Jab aapne package liya, kya woh damage tha?"
"567","I see. Do you have your order number available?"
"568","Samajh gaya. Kya aapke paas apna order number available hai?"
"569","I completely understand, Mr. Walton."
"570","Main aapki baat puri tarah samajhta/samajhti hoon, Mr. Walton."
"571","Here's what I can do."
"572","Yeh hai jo main kar sakta/sakti hoon."
"573","I will contact the shipping facility directly to expedite your package."
"574","Main seedha shipping facility se sampark karunga/karungi taaki aapka package jaldi bhej diya jaaye."
"575","Additionally, I will provide you with a 20% discount on your current order."
"576","Iske alawa, main aapke current order par 20% ka discount bhi doonga/doongi."
"577","This is a gesture of goodwill for the inconvenience you've experienced."
"578","Yeh ek tarah se goodwill ka gesture hai jo aapko hui asuvidha ke liye hai."
"579","I completely understand, Mr. Walton."
"580","Main aapki baat puri tarah samajhta/samajhti hoon, Mr. Walton."
"581","Here's what I can do."
"582","Yeh hai jo main kar sakta/sakti hoon."
"583","I will contact the shipping facility directly to expedite your package."
"584","Main seedha shipping facility se sampark karunga/karungi taaki aapka package jaldi bhej diya jaaye."
"585","Additionally, I will provide you with a 20% discount on your current order."
"586","Iske alawa, main aapke current order par 20% ka discount bhi doonga/doongi."
"587","This is a gesture of goodwill for the inconvenience you've experienced."
"588","Yeh ek tarah se goodwill ka gesture hai jo aapko hui asuvidha ke liye hai."
"589","I completely understand how frustrating that must be."
"590","Main puri tarah samajhta/samajhti hoon ki yeh kitna frustrating ho sakta hai."
"591","It sounds like the thermostat isn't responding to any of the changes you're trying to make."
"592","Aisa lagta hai ki thermostat un changes par respond nahi kar raha jo aap karne ki koshish kar rahe hain."
"593","Let's try a few more troubleshooting steps together."
"594","Chaliye milkar kuch aur troubleshooting steps try karte hain."
"595","Hopefully, we can get it working properly."
"596","Umeed hai ki hum ise theek se kaam karne lagaenge."
"597","Does that sound okay to you?"
"598","Kya yeh aapko theek lagta hai?"
"599","I completely understand your frustration, Mr. Ferguson."
"600","Main aapki pareshaani ko puri tarah samajhta/samajhti hoon, Mr. Ferguson."
"601","I will escalate your case to the highest priority."
"602","Main aapke case ko sabse highest priority par le jaunga/jaungi."
"603","I will ensure a technician visits you at the earliest available time."
"604","Main yeh sunishchit karunga/karungi ki ek technician aapke paas jaldi se jaldi available samay par aaye."
"605","Additionally, I'll make sure you receive a service credit for the inconvenience this has caused."
"606","Iske alawa, main yeh bhi sunishchit karunga/karungi ki aapko is asuvidha ke liye service credit mile."
"607","Absolutely, Mary."
"608","Bilkul, Mary."
"609","Like I said, it will only take a minute."
"610","Jaise maine kaha, isme sirf ek minute lagega."
"611","Our new standard service campaign is only $6.99 a month."
"612","Hamari nayi standard service campaign sirf $6.99 mahine ki hai."
"613","However, since you've been a loyal customer, I can offer you the first month free."
"614","Lekin, kyunki aap ek wafadar customer hain, main aapko pehla mahina free de sakta/sakti hoon."
"615","After that, the price will be only $6.99 a month for the next year."
"616","Uske baad, agli saal ke liye keval $6.99 mahine ka charge hoga."
"617","I understand, ma'am."
"618","Main samajhta/samajhti hoon, ma'am."
"619","I'm very sorry for the confusion."
"620","Mujhe is uljhan ke liye bahut khed hai."
"621","I can imagine how frustrating it must be to see an unexpected charge."
"622","Main samajh sakta/sakti hoon ki ek achanak se charge dekhna kitna frustrating ho sakta hai."
"623","Let me help clear things up for you."
"624","Main aapki madad karta/karti hoon is confusion ko dur karne ke liye."
"625","Could you please provide the email address associated with your account?"
"626","Kya aap apne account se judi email ID provide karenge?"
"627","So I can pull up your details."
"628","Taaki main aapke details nikaal saku."
"629","While I can't guarantee an exact arrival time."
"630","Main exact arrival time guarantee nahi kar sakta/sakti."
"631","I will make it my priority to ensure it gets the fastest possible delivery."
"632","Main isse apni priority banaunga/banungi ki yeh sabse tez delivery mile."
"633","I will personally follow up with the shipping department."
"634","Main khud shipping department ke saath follow-up karunga/karungi."
"635","And keep you updated on the status."
"636","Aur aapko status ke baare mein updated rakhoonga/rakhoongi."
"637","May I have your best contact number for updates?"
"638","Kya main aapka best contact number le sakta/sakti hoon updates ke liye?"
"639","That's an excellent question."
"640","Yeh ek bahut accha sawaal hai."
"641","The Globe Trotter plan includes free roaming in Europe."
"642","Globe Trotter plan mein Europe mein free roaming shamil hai."
"643","So you can use your data and make calls without incurring extra charges."
"644","Toh aap apne data ka use kar sakte hain aur calls kar sakte hain bina kisi extra charge ke."
"645","It's a great option for frequent travelers."
"646","Yeh regular travelers ke liye ek behtareen option hai."
"647","Is there anything else you'd like to know before we proceed?"
"648","Kya aage badhne se pehle aap aur kuch jaanna chahenge?"
"649","That's an excellent question."
"650","Yeh ek bahut accha sawal hai."
"651","The Globe Trotter plan includes free roaming in Europe."
"652","Globe Trotter plan mein Europe mein free roaming shamil hai."
"653","So you can use your data and make calls without incurring extra charges."
"654","Isliye aap apna data use kar sakte hain aur calls kar sakte hain bina kisi extra charge ke."
"655","It's a great option for frequent travelers."
"656","Yeh un logon ke liye ek behtareen option hai jo aksar travel karte hain."
"657","Is there anything else you'd like to know before we proceed?"
"658","Aage badhne se pehle kya aap aur kuch puchhna chahenge?"
"659","You'll receive text reminders 3 days before your due date going forward."
"660","Aapko aapke due date se 3 din pehle text reminders milenge aage se."
"661","As for the late payment fee, I'd like to do something to make this right for you."
"662","Late payment fee ke liye, main kuch karna chahta/chahti hoon taaki main aapke liye isse theek kar saku."
"663","Since it seems like this is a rare occurrence on your account."
"664","Kyuki aisa lagta hai ki yeh aapke account par ek rare occurrence hai."
"665","Let me see if I can waive that fee for you."
"666","Mujhe dekhne dijiye agar main aapke liye wo fee waive kar sakta/sakti hoon."
"667","Thank you for that."
"668","Uske liye shukriya."
"669","I will pass that information along to our technician."
"670","Main woh information hamare technician ko bhej dunga/dungi."
"671","If you experience any further issues or need additional assistance, please do not hesitate to contact me directly."
"672","Agar aapko koi aur samasya ho ya additional madad ki zarurat ho, toh kripya mujhe seedha sampark karne mein hichkichaiyega mat."
"673","Again, my name is Mike, and I do appreciate your patience and understanding."
"674","Dobara, mera naam Mike hai, aur main aapke patience aur understanding ki kadar karta/karti hoon."
"675","I understand, Mr. Ferguson."
"676","Main samajhta/samajhti hoon, Mr. Ferguson."
"677","We aim to provide the best service possible, and I regret that we've fallen short."
"678","Hum sabse acchi service dene ka prayas karte hain, aur mujhe khed hai ki hum uss standard tak nahi pahunche."
"679","Let me assure you, we are doing everything we can to resolve this as swiftly as possible."
"680","Main aapko vishwas dilata/dilati hoon, hum isse jitna jaldi ho sake solve karne ki poori koshish kar rahe hain."
"681","Is there anything else I can assist you with in the meantime?"
"682","Kya iss beech main aapki aur kisi baat mein madad kar sakta/sakti hoon?"
"683","Thank you, Miss Robertson."
"684","Shukriya, Miss Robertson."
"685","I'll take care of that for you."
"686","Main aapke liye woh kaam kar dunga/dungi."
"687","Like I said, you will see those changes after next month."
"688","Jaise maine kaha, aap agle mahine ke baad woh changes dekh paayenge."
"689","If you have any further questions, please feel free to contact one of our representatives."
"690","Agar aapko koi aur sawaal ho, toh kripya humare kisi representative se sampark karne mein bilkul hichkichaiye mat."
"691","Is there anything else I can help you with today?"
"692","Kya aaj main aapki aur koi madad kar sakta/sakti hoon?"
"693","I do apologize for the lack of service in your area."
"694","Main aapke area mein service ki kami ke liye maafi chahta/chahti hoon."
"695","We have been experiencing some service issues in a few different parts of the city today."
"696","Aaj hum sheher ke kuch alag-alag hisson mein service issues ka samna kar rahe hain."
"697","Could you please provide me with your account number?"
"698","Kya aap mujhe apna account number de sakte hain?"
"699","So I can check if you are located in one of those areas."
"700","Taaki main yeh check kar saku ki aap un areas mein se kisi mein hain ya nahi."
"701","This program will allow you to skip your payment this month without incurring any late fees or interest charges."
"702","Yeh program aapko is mahine ka payment skip karne ki suvidha dega bina kisi late fees ya interest charges ke."
"703","However, you will still be responsible for paying the full balance at a later date."
"704","Lekin, aapko baad mein poora balance pay karne ke liye zimmedar hona padega."
"705","Does that sound like something that would work for you?"
"706","Kya yeh aapke liye kaam karega?"
"707","Thank you for your patience."
"708","Aapke patience ke liye shukriya."
"709","I've confirmed that downgrading won't affect your current contract."
"710","Maine confirm kiya hai ki downgrading se aapke current contract par koi asar nahi padega."
"711","You can proceed with the downgrade, and the changes will take effect on your next billing cycle."
"712","Aap downgrade kar sakte hain, aur changes aapke agle billing cycle mein effect honge."
"713","Should we proceed with the downgrade to the slim plan?"
"714","Kya hum slim plan ke liye downgrade karne ka aage badhen?"
"715","Oh no, I'm really sorry to hear that."
"716","Oh nahi, mujhe yeh sunke sach mein bahut khed hua."
"717","I can imagine how frustrating that must be."
"718","Main samajh sakta/sakti hoon ki yeh kitna frustrating ho sakta hai."
"719","Let's get to the bottom of this together."
"720","Chaliye, hum milkar isko solve karte hain."
"721","Could you please confirm your account number or the phone number associated with your account?"
"722","Kya aap apna account number ya phone number confirm kar sakte hain jo aapke account se juda hai?"
"723","So I can pull up your details."
"724","Taaki main aapke details nikaal saku."
"725","Yes, Mr. O'Donnell, the plan is called the Velocity Plus."
"726","Haan, Mr. O'Donnell, yeh plan Velocity Plus kaha jata hai."
"727","Which is our fastest service."
"728","Yeh hamari sabse tez service hai."
"729","In fact, it is the fastest residential internet speed in the country."
"730","Asal mein, yeh desh ki sabse tez residential internet speed hai."
"731","No other company can match it, sir."
"732","Koi aur company isse match nahi kar sakti, sir."
"733","I am confident you will notice the difference right away."
"734","Mujhe pura vishwas hai ki aap turant farq mehsoos karenge."
"735","Great, now look for an option called factory reset."
"736","Accha, ab factory reset ka option dhoondhiye."
"737","This will reset everything back to the original settings."
"738","Yeh sab kuch original settings par reset kar dega."
"739","Which might clear out any software glitches that are causing the issue."
"740","Yeh kisi bhi software glitch ko door kar sakta hai jo problem ka kaaran ban rahe hain."
"741","Keep in mind this will remove any custom settings you've made."
"742","Yaad rakhiye, yeh aapke kiye gaye kisi bhi custom settings ko hata dega."
"743","Undertone, it looks great with navy or denim."
"744","Undertone, yeh navy ya denim ke saath bahut accha lagta hai."
"745","This sweater is made of a high-quality wool blend that is soft and warm."
"746","Yeh sweater ek high-quality wool blend se bana hai jo soft aur warm hai."
"747","If you're still unsure, we offer free exchanges."
"748","Agar aap abhi bhi sure nahi hain, toh hum free exchanges offer karte hain."
"749","So you can always exchange it for a different color if you change your mind."
"750","Toh agar aap apna mann badal lete hain, toh aap ise kisi aur color ke liye exchange kar sakte hain."
"751","Not to worry, sir."
"752","Chinta mat kijiye, sir."
"753","If you don't have your account information, we can try a different approach."
"754","Agar aapke paas apni account information nahi hai, toh hum ek alag tareeka apna sakte hain."
"755","I can send a temporary password to your registered email address."
"756","Main aapke registered email address par ek temporary password bhej sakta/sakti hoon."
"757","Once you receive it, you'll be able to access your account and set a new password."
"758","Jab aap ise prapt karenge, tab aap apne account ko access kar paayenge aur ek naya password set kar sakte hain."
"759","I really appreciate you trusting me with this."
"760","Main sach mein aapka shukriya ada karta/karti hoon ki aapne mujh par bharosa dikhaya."
"761","You've been more than patient, and we're almost at the finish line."
"762","Aap bahut zyada patient rahe hain, aur hum bas finish line ke kareeb hain."
"763","I'll keep an eye on your order and personally reach out tomorrow to confirm it's been delivered."
"764","Main aapke order par nazar rakhoonga/rakhoongi aur kal khud aap se sampark karunga/karungi taaki yeh confirm kar sakoon ki delivery ho gayi hai."
"765","Does that sound all right?"
"766","Kya yeh theek lag raha hai?"
"767","I understand your concern."
"768","Main aapki chinta samajhta/samajhti hoon."
"769","I'm sure once the new unit is set up, everything will be working perfectly."
"770","Mujhe yakin hai ki jab naya unit set up ho jayega, sab kuch bilkul theek kaam karega."
"771","And you won't have to worry about it again."
"772","Aur aapko phir se is baat ki chinta nahi karni padegi."
"773","I'll also be in touch to check in, so you won't have to follow up."
"774","Main bhi aap se sampark mein rahunga/rahungi taaki aapko follow up karne ki zarurat na pade."
"775","Does that sound all right?"
"776","Kya yeh theek lag raha hai?"
"777","Great, I've made a note of the complimentary upgrade."
"778","Accha, maine complimentary upgrade ka note le liya hai."
"779","And I appreciate your willingness to give us another chance."
"780","Aur main aapke humein ek aur chance dene ki iccha ki kadar karta/karti hoon."
"781","If you have any issues during this trial period, please don't hesitate to contact us."
"782","Agar aapko is trial period ke dauran koi bhi samasya ho, toh kripya humse bina jhijhak sampark karein."
"783","Thank you for choosing Velocity Net."
"784","Velocity Net ko chunne ke liye shukriya."
"785","By contacting us and providing some basic information, the loan will accrue interest."
"786","Humse sampark karne aur kuch basic information dene par, loan par interest lagna shuru ho jayega."
"787","And will be repaid with interest when the policy matures or if you cancel the policy."
"788","Aur jab policy mature hogi ya agar aap policy ko cancel karte hain, tab yeh interest ke saath repay kiya jayega."
"789","If you would like to withdraw some of the cash value, you..."
"790","Agar aap cash value mein se kuch withdraw karna chahte hain, toh aap..."
"791","Confirm that you are authorized to change your PIN."
"792","Yeh confirm kijiye ki aapko apna PIN badalne ka adhikar hai."
"793","I can transfer you to our automated system and you can follow the prompts."
"794","Main aapko hamare automated system par transfer kar sakta/sakti hoon, aur aap prompts ko follow kar sakte hain."
"795","Just in case you get disconnected, the direct phone number to the automated system is 1-800-555-7899."
"796","Agar aapka call disconnect ho jaye, toh automated system ka direct phone number hai 1-800-555-7899."
"797","In mind that the cost of a life insurance policy will vary depending on factors such as your age, health, and lifestyle."
"798","Yeh dhyan mein rakhiye ki life insurance policy ki cost aapke age, health, aur lifestyle jaise factors par depend karegi."
"799","However, as a general rule, a 30-year term life policy for a healthy 30-year-old non-smoking male might cost..."
"800","Lekin, ek general rule ke roop mein, ek healthy 30 saal ke non-smoking male ke liye 30 saal ki term life policy ki cost kuch is tarah ho sakti hai..."
"801","Thank you, Mr. O'Donnell, I appreciate that."
"802","Shukriya, Mr. O'Donnell, main iski kadar karta/karti hoon."
"803","I have noticed a few irregularities that might be causing the speed issues."
"804","Maine kuch irregularities notice ki hain jo speed issues ka kaaran ban rahi ho sakti hain."
"805","If you would like, I can schedule a technician to come and resolve the problem at no additional cost to you."
"806","Agar aap chahein, toh main ek technician ko schedule kar sakta/sakti hoon jo aake problem ko solve karega bina aapko koi extra cost diye."
"807","Not a problem at all."
"808","Bilkul bhi koi problem nahi hai."
"809","You've been a loyal customer for quite some time, and I want to make sure we take care of you."
"810","Aap kaafi samay se ek loyal customer rahe hain, aur main yeh ensure karna chahta/chahti hoon ki hum aapka dhyan rakhein."
"811","Let me go ahead and remove that $25 late payment fee."
"812","Main jaake woh $25 late payment fee hata deta/hata deti hoon."
"813","Done, you'll see that reflected on your next statement."
"814","Ho gaya, aapko yeh aapke agle statement mein dikhai dega."
"815","I see that your package is currently in transit."
"816","Main dekh raha/rahi hoon ki aapka package abhi transit mein hai."
"817","But there have been weather delays."
"818","Lekin weather ki wajah se kuch delays ho gaye hain."
"819","It should arrive by the end of the week."
"820","Yeh hafte ke end tak pahuch jana chahiye."
"821","I understand the urgency, and I do apologize for any inconvenience this may have caused you."
"822","Main aapki urgency samajhta/samajhti hoon, aur main aapko jo bhi takleef hui hai uske liye maafi chahta/chahti hoon."
"823","Thank you for that information."
"824","Us information ke liye shukriya."
"825","Let me check that for you, please give me a few seconds."
"826","Mujhe aapke liye yeh check karne dijiye, kripya kuch seconds ka samay dein."
"827","Yes, I found it."
"828","Haan, maine isse dhundh liya."
"829","You'll be responsible for a co-payment of $20 per 30-day supply when you fill your prescription at a network pharmacy."
"830","Jab aap apni prescription network pharmacy se bhareinge, toh aapko har 30 din ke supply par $20 ka co-payment dena padega."
"831","I completely understand your urgency, Mr. Ferguson."
"832","Main aapki urgency ko poori tarah samajhta/samajhti hoon, Mr. Ferguson."
"833","While I wish I could resolve this remotely for you, some issues do require a technician's expertise."
"834","Jabki main chahta/chahti hoon ki main yeh aapke liye remotely resolve kar sakoon, kuch issues ko technician ki expertise ki zarurat hoti hai."
"835","I can prioritize your appointment to the earliest available time slot."
"836","Main aapki appointment ko sabse pehle available time slot mein prioritize kar sakta/sakti hoon."
"837","Thank you, Mr. Jackson."
"838","Shukriya, Mr. Jackson."
"839","No problem, we can take care of that for you right now."
"840","Koi problem nahi, hum abhi ke liye aapke liye isse handle kar sakte hain."
"841","In order to activate your card, I will need to verify some information with you."
"842","Aapka card activate karne ke liye, mujhe aap se kuch information verify karni hogi."
"843","Can you please confirm your mailing address and phone number?"
"844","Kya aap apna mailing address aur phone number confirm kar sakte hain?"
"845","Let me just check your account information."
"846","Mujhe bas aapki account information check karne dijiye."
"847","It looks like we have our tech crew working on the problem right now."
"848","Aisa lagta hai ki hamari tech team abhi is problem par kaam kar rahi hai."
"849","Well, I cannot give you an exact time, but they expect the issue to be resolved in a few hours."
"850","Main aapko exact time nahi de sakta/sakti, lekin unhe lagta hai ki yeh issue kuch ghanto mein solve ho jayega."
"851","A few hours."
"852","Kuch ghante."
"853","I'll expedite the replacement order for you."
"854","Main aapke liye replacement order ko jaldi bhej dunga/dungi."
"855","You should receive it within 2 to 3 business days."
"856","Aapko yeh 2 se 3 business din ke andar mil jana chahiye."
"857","I'm also sending you a prepaid shipping label for the return."
"858","Main aapko return ke liye ek prepaid shipping label bhi bhej raha/rahi hoon."
"859","Please use it to send the incorrect model back to us."
"860","Kripya isse istemal karke galat model ko humein wapas bhej dein."
"861","Of course, sir, I completely understand."
"862","Bilkul sir, main poori tarah samajhta/samajhti hoon."
"863","If you have any more questions or need further assistance, feel free to reach out to any of our representatives."
"864","Agar aapko koi aur sawal ho ya aapko aur madad chahiye ho, toh bina jhijhak humare kisi bhi representative se sampark karein."
"865","And we would be happy to answer your questions or concerns."
"866","Aur hum khushi se aapke sawalon ya chintaon ka jawab denge."
"867","All right, thank you for that."
"868","Thik hai, uske liye shukriya."
"869","Please bear with me for a moment."
"870","Kripya ek moment ke liye mere saath rahiye."
"871","I've checked your account and your current balance shows two thousand five hundred and ten dollars."
"872","Maine aapka account check kiya hai aur aapka current balance do hazar paanch so das dollar dikhata hai."
"873","Does that seem like the correct amount to you?"
"874","Kya yeh amount aapko sahi lagta hai?"
"875","Sure, Plan A is a high deductible plan with lower monthly premiums."
"876","Bilkul, Plan A ek high deductible plan hai jisme monthly premiums kam hote hain."
"877","Plan B is a mid-range plan with moderate deductibles and premiums."
"878","Plan B ek mid-range plan hai jisme moderate deductibles aur premiums hote hain."
"879","Plan C is a comprehensive plan with low deductibles and higher premiums."
"880","Plan C ek comprehensive plan hai jisme low deductibles aur higher premiums hote hain."
"881","Thank you for that, Ms. Buford."
"882","Uske liye shukriya, Ms. Buford."
"883","I see that you are enrolled in the basic plan."
"884","Mujhe dekh kar lagta hai ki aap basic plan mein enrolled hain."
"885","Which covers preventative care at 100 percent."
